Farmer_ID,Application_Date,Age,Gender,Education_Level,Marital_Status,Family_Size,Dependents,Farming_Experience_Years,State,District,Farm_Size_Acres,Land_Ownership,Soil_Type,Soil_Quality_Index,Irrigation_Availability,Primary_Crop,Secondary_Crop,Annual_Rainfall_mm,Average_Temperature_C,Humidity_Percent,Flood_Risk,Drought_Risk,Cyclone_Risk,Pest_Risk,Weather_Risk_Index,Climate_Zone,Average_Yield_Last3Years_TonsPerAcre,Crop_Insurance,Government_Subsidy,MSP_Eligible,Annual_Farm_Income,Annual_Farm_Expenses,Tractor_Ownership,Farm_Equipment_Value,Livestock_Count,Asset_Value,Liability_Value,Savings,Bank_Balance,Credit_Score,Existing_Loan_Count,Existing_Loan_Amount,Previous_Default,Repayment_History_Score,Debt_to_Income_Ratio,Loan_Amount_Requested,Loan_Purpose,Interest_Rate_Percent,Loan_Tenure_Months,EMI,Income_Stability_Index,Farm_Productivity_Index,Climate_Risk_Index,Financial_Health_Index,Loan_Affordability_Index,Asset_Strength_Index,Overall_Risk_Factor,Risk_Score,Loan_Status,Application_year,Application_month,Application_day
AGR117544,2023-06-23,53.0,Male,Higher Secondary,Married,8.0,4.0,27.0,Kerala,Thiruvananthapuram,5.21,Shared,Laterite,58.7,,Coconut,Spices,2766.9,29.5,64.1,,,,Low,61.9,Humid Sub-Tropical,3.41,,,,290057.0,141718.0,,131805.0,5.0,995935.0,149466.0,16323.0,16633.0,483.0,1.0,63640.0,,71.2,0.271,64077.0,Unknown,14.5,60.0,4506.78,40.7,52.5,65.4,57.7,65.5,48.5,73.2,40.6,Approved with Conditions,2023,6,23
AGR103888,2022-10-02,39.0,Female,Illiterate,Married,8.0,3.0,21.0,Jharkhand,Hazaribagh,2.09,Leased,Red,57.3,,Rice,Unknown,1559.8,19.2,40.9,,,,Low,32.8,Humid Sub-Tropical,3.53,,,,87196.0,72648.0,,67046.0,2.0,354010.0,83248.0,4782.0,0.0,540.0,0.0,0.0,,85.4,0.095,20000.0,Fertilizer,13.12,24.0,951.98,55.4,53.3,35.1,70.3,72.2,43.7,52.0,54.7,Approved,2022,10,2
AGR112882,2024-07-17,27.0,Male,Secondary,Married,8.0,3.0,9.0,Madhya Pradesh,Gwalior,10.0,Mixed,Red,73.5,Unknown,Soybean,Cotton,778.5,27.6,43.6,,,,Medium,56.2,Semi-Arid,3.16,,,,301790.0,170901.0,,8497.8,4.0,885288.0,143566.0,57543.0,23507.0,335.0,0.0,0.0,,76.8,0.048,309909.0,Processing Unit,16.0,36.0,10895.49,50.5,44.4,48.4,50.3,41.5,46.8,95.8,22.7,Rejected,2024,7,17
AGR108149,2024-07-26,41.0,Male,Post Graduate,Married,6.0,3.0,22.0,Haryana,Karnal,1.27,Shared,Unknown,70.2,,Wheat,Sugarcane,705.5,30.0,31.3,,,,Medium,49.8,Semi-Arid,2.89,,,,2762.7,63936.0,,75122.0,5.0,556061.5,75094.0,5406.0,2396.0,300.0,2.0,547288.0,,76.8,5.0,31317.0,Equipment,16.0,120.0,524.61,52.3,56.5,49.5,0.0,13.1,46.2,100.0,20.8,Rejected,2024,7,26
AGR115346,2022-04-24,33.0,Male,Primary,Married,6.0,3.0,12.0,Gujarat,Ahmedabad,16.91,Leased,Sandy Loam,56.0,,Groundnut,Castor,824.9,22.7,33.5,,,,Unknown,50.3,Semi-Arid,2.59,Unknown,,,687163.0,101022.5,,614669.0,2.0,1994851.0,153852.0,47134.0,13150.0,535.0,1.0,57763.0,,65.9,0.106,52724.0,Fertilizer,13.76,60.0,1220.2,39.6,32.7,47.3,59.6,79.5,49.9,65.8,34.6,Approved with Conditions,2022,4,24
AGR112096,2025-12-21,49.0,Male,Graduate,Married,6.0,3.0,34.0,Gujarat,Bhavnagar,4.06,Shared,Sandy Loam,58.5,,Groundnut,Wheat,683.0,31.9,47.9,,,,Low,36.7,Unknown,3.45,,,,50000.0,44336.0,,125448.0,2.0,127102.0,130972.0,7420.0,3211.0,328.0,1.0,234920.0,,100.0,0.187,20000.0,Seeds,16.0,12.0,1814.62,55.7,50.6,40.1,3.5,0.0,52.8,100.0,34.5,Rejected,2025,12,21
AGR117784,2024-11-19,27.0,Male,Illiterate,Married,3.0,1.0,7.0,Maharashtra,Pune,5.16,Leased,Black,76.1,,Sugarcane,Onion,1089.9,26.0,45.9,,,,Medium,24.2,Semi-Arid,4.05,,,,368539.0,136647.0,,142933.0,4.0,910346.0,95506.0,66895.0,12274.0,516.0,0.0,0.0,,81.1,0.026,162427.0,Irrigation,12.57,24.0,7689.45,50.1,61.9,12.4,67.1,63.9,55.2,59.5,40.0,Approved with Conditions,2024,11,19
AGR108827,2023-04-23,40.0,Male,Higher Secondary,Married,6.0,2.0,21.0,Uttarakhand,Unknown,62.04,Owned,Mountain,49.4,,Wheat,Pulses,1522.5,10.0,48.1,,,Unknown,Low,8.7,Temperate/Hill,3.79,,,,336609.0,181915.0,,145311.0,4.0,888157.0,367201.0,72013.0,46014.0,501.0,1.0,207070.0,,94.8,0.724,78125.0,Livestock,14.09,6.0,13494.09,61.0,65.5,8.4,56.5,43.9,49.6,64.3,46.7,Approved,2023,4,23
AGR117092,2022-07-07,42.0,Male,Higher Secondary,Married,5.0,2.0,21.0,Andhra Pradesh,Guntur,6.73,Owned,Red,54.9,,Rice,Groundnut,1091.6,34.7,54.4,,,,Low,14.9,Semi-Arid,3.9,,,,363939.0,159990.0,,437384.0,7.0,1349273.0,579843.0,46842.0,28675.0,520.0,0.0,0.0,,93.6,0.159,106357.0,Equipment,13.68,24.0,5090.69,64.2,52.2,7.4,68.9,65.1,45.0,49.2,55.6,Approved,2022,7,7
AGR119552,2023-12-22,30.0,Female,Primary,Married,6.0,3.0,11.0,Tamil Nadu,Tiruchirappalli,3.5,Leased,Red,71.7,,Rice,Banana,932.2,29.9,40.5,,Unknown,,Low,45.0,Semi-Arid,3.29,,,,177565.0,129730.0,,120406.0,5.0,397020.0,155750.0,5426.0,3545.0,460.0,1.0,98896.0,,80.4,0.645,48972.0,Unknown,15.18,36.0,949.99,47.0,56.9,45.5,57.8,66.7,50.9,66.8,37.6,Approved with Conditions,2023,12,22
AGR112097,2021-10-13,40.0,Male,Primary,Unknown,6.0,3.0,21.0,Haryana,Rohtak,2.78,Owned,Sandy Loam,62.9,,Mustard,Rice,648.7,27.2,26.6,,Unknown,,High,96.7,Arid,3.6,,,,110295.0,65940.0,Unknown,115630.0,4.0,510048.0,79951.0,26522.0,12070.0,527.0,0.0,0.0,,81.1,0.072,60044.0,Equipment,13.7,36.0,2043.49,34.8,42.8,93.7,61.0,63.9,59.3,68.9,41.2,Approved with Conditions,2021,10,13
AGR105165,2025-02-04,47.0,Male,Graduate,Married,6.0,2.0,27.0,Andhra Pradesh,Kurnool,64.04,Owned,Red,59.9,,Rice,Cotton,1029.2,34.5,31.2,,,,Medium,38.6,Semi-Arid,2.35,,,,2198915.0,1335006.0,,134717.0,0.0,11509552.0,1653034.0,324385.0,116889.0,625.0,1.0,89253.0,,85.0,0.116,64077.0,Unknown,12.11,48.0,2783.61,58.4,30.5,50.1,63.8,61.05,58.1,65.7,54.6,Approved,2025,2,4
AGR115996,2021-06-03,32.0,Female,Secondary,Married,7.0,2.0,16.0,Uttarakhand,Nainital,7.48,Owned,Unknown,50.2,,Wheat,Pulses,1408.0,13.8,47.6,,,,Medium,49.4,Temperate/Hill,2.81,Unknown,,,282919.0,115204.0,,578733.0,4.0,913912.0,364811.0,46683.0,29187.0,300.0,1.0,23451.0,,28.3,0.212,25833.0,Fertilizer,16.0,120.0,432.73,50.7,45.0,59.0,26.6,66.9,48.8,86.2,0.0,Rejected,2021,6,3
AGR115004,2023-12-22,41.0,Male,Post Graduate,Married,5.0,2.0,27.0,Maharashtra,Aurangabad,1.84,Leased,Red,41.3,,Sugarcane,Onion,1197.5,26.5,47.5,,,,Low,37.0,Semi-Arid,3.5,,,,107355.0,84620.0,,8362.0,5.0,300678.0,25031.0,19587.0,6716.0,345.0,0.0,0.0,,52.1,0.023,30904.0,Livestock,14.11,12.0,2776.38,59.2,60.5,34.4,36.6,52.3,61.8,77.1,8.9,Rejected,2023,12,22
AGR116274,2022-11-08,41.0,Male,Unknown,Single,12.0,5.0,25.0,Madhya Pradesh,Gwalior,1.19,Shared,Black,68.1,,Wheat,Gram,1029.2,26.3,36.6,,,Unknown,Low,41.4,Semi-Arid,3.6,,,,80824.0,18576.0,,132141.0,6.0,150584.0,7988.0,3303.0,0.0,490.0,0.0,0.0,,74.9,0.01,21703.0,Livestock,12.27,60.0,485.77,55.0,53.3,38.7,58.6,77.6,50.9,63.9,37.6,Approved with Conditions,2022,11,8
AGR104110,2021-05-12,42.0,Male,Secondary,Single,4.0,2.0,22.0,Madhya Pradesh,Jabalpur,2.66,Owned,Black,78.1,,Wheat,Cotton,1130.7,25.4,52.9,,,,Low,45.2,Semi-Arid,4.21,,,,131312.0,54352.0,,83394.0,3.0,259184.0,18124.0,16380.0,3407.0,368.0,1.0,142296.0,,89.6,1.097,64077.0,Farm Expansion,16.0,120.0,1122.86,47.7,69.4,42.6,54.4,58.2,53.6,78.4,36.1,Approved with Conditions,2021,5,12
AGR114396,2023-06-03,43.0,Male,Secondary,Single,8.0,4.0,24.0,Telangana,Nizamabad,2.87,Leased,Red,56.4,,Cotton,Turmeric,1081.8,34.6,46.2,,,,Low,41.1,Semi-Arid,3.04,,,,177123.0,100258.0,,10215.0,3.0,386989.0,79958.0,15507.0,16293.0,420.0,2.0,158238.0,,77.2,0.939,22928.0,Seeds,16.0,36.0,806.07,56.9,43.6,39.4,53.6,63.7,51.7,70.9,43.7,Approved with Conditions,2023,6,3
AGR105462,2021-06-19,23.0,Male,Secondary,Married,9.0,3.0,2.0,Haryana,Hisar,3.66,Leased,Sandy Loam,64.2,,Mustard,Bajra,405.0,20.1,30.9,,,,Medium,27.3,Arid,3.6,,,,116240.0,47673.0,,71313.0,2.0,651701.0,263678.0,6922.0,0.0,423.0,2.0,49461.0,,59.5,0.652,56116.0,Irrigation,14.46,36.0,1930.48,44.2,56.9,33.4,51.4,69.2,51.7,59.5,36.1,Approved with Conditions,2021,6,19
AGR117594,2024-06-24,42.0,Male,Graduate,Married,6.0,1.0,22.0,Chhattisgarh,Durg,2.45,Owned,Clay,51.9,,Maize,Groundnut,1072.4,29.7,56.6,,,,Low,6.8,Semi-Arid,3.6,Unknown,,,107437.0,13784.0,,13559.0,5.0,263230.0,130972.0,21623.0,10264.0,454.0,1.0,53431.0,,100.0,0.578,20000.0,Seeds,13.28,36.0,676.57,71.5,65.5,3.3,64.6,75.3,58.8,54.0,45.6,Approved with Conditions,2024,6,24
AGR110312,2021-10-08,58.0,Male,Illiterate,Married,6.0,2.0,42.0,Tamil Nadu,Chennai,13.32,Mixed,Red,49.3,,Unknown,Banana,172.7,24.3,23.9,,,,Low,7.0,Arid,3.68,Unknown,,,626023.0,282016.0,,144869.0,4.0,1593854.0,362773.0,80491.0,39623.0,433.0,2.0,56662.0,,64.6,0.148,344478.0,Farm Expansion,13.75,36.0,11731.59,66.0,56.9,0.0,57.4,52.1,52.6,58.6,50.2,Approved with Conditions,2021,10,8
AGR117684,2021-11-14,30.0,Female,Primary,Married,6.0,3.0,11.0,Tamil Nadu,Chennai,2.96,Owned,Alluvial,71.9,,Rice,Groundnut,848.1,33.0,45.3,,,,Medium,19.9,Semi-Arid,3.71,,,,129426.0,76647.0,,114688.0,7.0,447334.0,34081.0,13004.0,0.0,439.0,0.0,0.0,,69.5,0.026,20000.0,Fertilizer,13.14,12.0,1787.63,57.0,65.4,5.2,66.5,64.1,48.4,54.6,42.5,Approved with Conditions,2021,11,14
AGR114911,2022-12-16,34.0,Male,Illiterate,Single,1.0,0.0,19.0,Gujarat,Bhavnagar,17.05,Owned,Black,74.9,,Unknown,Wheat,552.8,26.3,37.0,,,,High,76.1,Arid,3.53,,,,990585.0,600490.0,,175971.0,3.0,1388577.0,574646.0,239799.0,36445.0,496.0,2.0,431312.0,,81.7,0.493,629680.0,Processing Unit,13.95,60.0,14636.43,45.4,53.8,69.9,60.2,73.8,61.1,69.7,30.7,Rejected,2022,12,16
AGR112115,2022-08-10,51.0,Female,Secondary,Married,7.0,3.0,27.0,Madhya Pradesh,Indore,13.51,Owned,Red,55.6,,Soybean,Cotton,1147.3,28.6,38.2,,,,Low,62.5,Semi-Arid,2.25,,,,378747.0,215335.0,,46703.0,3.0,1786361.0,815659.0,81646.0,24193.0,474.0,0.0,0.0,,73.6,0.215,300634.0,Farm Expansion,14.97,6.0,52315.74,33.9,32.5,57.6,56.3,0.0,56.0,76.3,37.4,Approved with Conditions,2022,8,10
AGR115367,2021-12-08,48.0,Male,Primary,Widowed,8.0,5.0,29.0,Tamil Nadu,Madurai,0.57,Owned,Red,64.8,,Sugarcane,Millets,1293.2,25.3,45.7,,,,Low,9.5,Semi-Arid,4.87,,,,58910.0,13217.0,,108272.0,3.0,137374.0,21091.0,2569.0,0.0,497.0,1.0,21240.0,,73.5,0.396,20000.0,Seeds,13.33,12.0,1789.44,53.8,69.3,10.3,60.9,49.6,54.2,63.4,43.3,Approved with Conditions,2021,12,8
AGR104054,2021-04-15,44.0,Male,Post Graduate,Unknown,4.0,2.0,23.0,West Bengal,Siliguri,2.69,Owned,Clay,43.0,,Jute,Vegetables,1567.0,28.2,50.3,,,,Medium,53.7,Humid Sub-Tropical,3.6,,,,110736.0,62086.0,,640948.0,6.0,514779.0,117962.0,6604.0,1463.0,417.0,1.0,193446.0,,87.2,1.853,20560.0,Fertilizer,15.71,84.0,404.94,49.8,51.1,62.0,43.3,58.1,43.3,83.6,21.2,Rejected,2021,4,15
AGR119674,2022-05-02,60.0,Male,Secondary,Married,3.0,1.0,41.0,Andhra Pradesh,Unknown,1.39,Owned,Alluvial,64.9,,Rice,Cotton,939.7,29.4,36.8,,,,Low,1.0,Semi-Arid,3.06,,,,53676.0,49888.0,,540517.0,5.0,404206.0,135331.0,5303.0,0.0,300.0,2.0,508805.0,,74.1,5.0,21963.0,Irrigation,16.0,12.0,1992.73,62.2,50.6,8.8,0.0,0.0,48.1,100.0,14.5,Rejected,2022,5,2
AGR116970,2024-04-06,65.0,Male,Primary,Married,9.0,5.0,47.0,Odisha,Bhubaneswar,0.94,Mixed,Laterite,64.9,,Groundnut,Pulses,1365.6,29.3,39.4,,,,Medium,100.0,Semi-Arid,3.14,,,,50000.0,18329.0,,166739.0,3.0,183114.0,61619.0,10868.0,2023.0,512.0,0.0,0.0,,94.4,0.123,25980.0,Greenhouse,13.14,6.0,4497.46,44.5,55.0,94.3,67.8,19.6,43.9,88.2,41.2,Approved with Conditions,2024,4,6
